timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-02-11T00:00:00.000Z";"2025-02-11T23:59:59.999Z";"2025-02-11T08:26:00.000Z";"2025-02-11T00:00:00.000Z";"2781";0.7107419528;0.8159188236;0.7107419344;0.7793993276;1813731043.74;27432525511.38;"2025-02-11T23:59:59.999Z"
"2025-02-10T00:00:00.000Z";"2025-02-10T23:59:59.999Z";"2025-02-10T22:37:00.000Z";"2025-02-10T02:32:00.000Z";"2781";0.6827727314;0.7162807278;0.6656032397;0.7106928817;751114199.78;25014916466.03;"2025-02-10T23:59:59.999Z"
"2025-02-09T00:00:00.000Z";"2025-02-09T23:59:59.999Z";"2025-02-09T03:52:00.000Z";"2025-02-09T21:55:00.000Z";"2781";0.7017762002;0.7126368357;0.6540556871;0.6827005893;679645670.36;24031690316.53;"2025-02-09T23:59:59.999Z"
"2025-02-08T00:00:00.000Z";"2025-02-08T23:59:59.999Z";"2025-02-08T00:46:00.000Z";"2025-02-08T16:20:00.000Z";"2781";0.7070952396;0.7148566893;0.6847507555;0.701849115;553879407.67;24700232810.43;"2025-02-08T23:59:59.999Z"
"2025-02-07T00:00:00.000Z";"2025-02-07T23:59:59.999Z";"2025-02-07T14:23:00.000Z";"2025-02-07T22:26:00.000Z";"2781";0.7050544113;0.7500196286;0.6924774929;0.7070925678;940384128.99;24885156860.85;"2025-02-07T23:59:59.999Z"
"2025-02-06T00:00:00.000Z";"2025-02-06T23:59:59.999Z";"2025-02-06T07:01:00.000Z";"2025-02-06T23:47:00.000Z";"2781";0.7331268184;0.7646526376;0.7021329042;0.7050620158;844784492.04;24813682230.24;"2025-02-06T23:59:59.999Z"
"2025-02-05T00:00:00.000Z";"2025-02-05T23:59:59.999Z";"2025-02-05T14:51:00.000Z";"2025-02-05T22:47:00.000Z";"2781";0.7463314835;0.7740878492;0.7289456035;0.7332085317;840128547.41;25804785326.96;"2025-02-05T23:59:59.999Z"
"2025-02-04T00:00:00.000Z";"2025-02-04T23:59:59.999Z";"2025-02-04T00:23:00.000Z";"2025-02-04T08:05:00.000Z";"2781";0.811562237;0.8184307277;0.7190247996;0.7463430818;1601678503.44;26266017642.06;"2025-02-04T23:59:59.999Z"
"2025-02-03T00:00:00.000Z";"2025-02-03T23:59:59.999Z";"2025-02-03T22:31:00.000Z";"2025-02-03T02:10:00.000Z";"2781";0.8017533085;0.8229945448;0.5648374894;0.8115590928;4694160143.23;28562841560.46;"2025-02-03T23:59:59.999Z"
"2025-02-02T00:00:00.000Z";"2025-02-02T23:59:59.999Z";"2025-02-02T01:11:00.000Z";"2025-02-02T23:33:00.000Z";"2781";0.897934957;0.9097268169;0.7710753995;0.801740224;1554294075.89;28210404249.11;"2025-02-02T23:59:59.999Z"
"2025-02-01T00:00:00.000Z";"2025-02-01T23:59:59.999Z";"2025-02-01T02:32:00.000Z";"2025-02-01T23:28:00.000Z";"2781";0.9422286205;0.9560540095;0.8909398152;0.8979437676;576044613.27;31594599335.48;"2025-02-01T23:59:59.999Z"
"2025-01-31T00:00:00.000Z";"2025-01-31T23:59:59.999Z";"2025-01-31T16:07:00.000Z";"2025-01-31T21:34:00.000Z";"2781";0.9610066805;0.9818965334;0.9368593186;0.9422293242;700669655.12;33153538201.8;"2025-01-31T23:59:59.999Z"
"2025-01-30T00:00:00.000Z";"2025-01-30T23:59:59.999Z";"2025-01-30T15:13:00.000Z";"2025-01-30T00:35:00.000Z";"2781";0.9411426801;0.9862493962;0.9386978593;0.9610138724;626612171.73;33813831157.79;"2025-01-30T23:59:59.999Z"
"2025-01-29T00:00:00.000Z";"2025-01-29T23:59:59.999Z";"2025-01-29T21:40:00.000Z";"2025-01-29T19:31:00.000Z";"2781";0.9161093297;0.9583602777;0.9052195443;0.94112721;819481985.41;33115415185.19;"2025-01-29T23:59:59.999Z"
"2025-01-28T00:00:00.000Z";"2025-01-28T23:59:59.999Z";"2025-01-28T11:16:00.000Z";"2025-01-28T22:06:00.000Z";"2781";0.9329524578;0.9670733866;0.9050546891;0.916114642;768281216.49;32228933381;"2025-01-28T23:59:59.999Z"
"2025-01-27T00:00:00.000Z";"2025-01-27T23:59:59.999Z";"2025-01-27T00:13:00.000Z";"2025-01-27T08:46:00.000Z";"2781";0.9548213338;0.9568077076;0.8687661066;0.9329428492;1388103696.99;32821354555.95;"2025-01-27T23:59:59.999Z"
"2025-01-26T00:00:00.000Z";"2025-01-26T23:59:59.999Z";"2025-01-26T19:56:00.000Z";"2025-01-26T23:59:00.000Z";"2781";0.9772723731;0.9992122081;0.954855997;0.954855997;558478883.4;33590830438.81;"2025-01-26T23:59:59.999Z"
"2025-01-25T00:00:00.000Z";"2025-01-25T23:59:59.999Z";"2025-01-25T16:17:00.000Z";"2025-01-25T01:02:00.000Z";"2781";0.971500158;0.9902067925;0.9661852134;0.9772723731;518321010.42;34381391107.85;"2025-01-25T23:59:59.999Z"
"2025-01-24T00:00:00.000Z";"2025-01-24T23:59:59.999Z";"2025-01-24T06:07:00.000Z";"2025-01-24T02:51:00.000Z";"2781";0.987461424;1.0071094093;0.966197111;0.9714940021;899623660.05;34177595247.55;"2025-01-24T23:59:59.999Z"
"2025-01-23T00:00:00.000Z";"2025-01-23T23:59:59.999Z";"2025-01-23T16:20:00.000Z";"2025-01-23T11:13:00.000Z";"2781";0.981643947;1.006638134;0.9537473473;0.9874937921;1176052467.15;34730345032.85;"2025-01-23T23:59:59.999Z"
"2025-01-22T00:00:00.000Z";"2025-01-22T23:59:59.999Z";"2025-01-22T01:02:00.000Z";"2025-01-22T23:13:00.000Z";"2781";1.0046541295;1.0159940077;0.9794295647;0.981643947;973043308.91;34525379825.99;"2025-01-22T23:59:59.999Z"
"2025-01-21T00:00:00.000Z";"2025-01-21T23:59:59.999Z";"2025-01-21T18:58:00.000Z";"2025-01-21T08:57:00.000Z";"2781";1.0086615216;1.0269293068;0.9550957301;1.0046539591;1689540930.8;35335035586.64;"2025-01-21T23:59:59.999Z"
"2025-01-20T00:00:00.000Z";"2025-01-20T23:59:59.999Z";"2025-01-20T08:27:00.000Z";"2025-01-20T01:03:00.000Z";"2781";0.9911685015;1.0967014338;0.9688515254;1.0086444908;2754988265.6;35475980951.07;"2025-01-20T23:59:59.999Z"
"2025-01-19T00:00:00.000Z";"2025-01-19T23:59:59.999Z";"2025-01-19T01:25:00.000Z";"2025-01-19T23:43:00.000Z";"2781";1.1020480531;1.1474613059;0.9781143211;0.9911910263;2978644562.95;34860727928.46;"2025-01-19T23:59:59.999Z"
"2025-01-18T00:00:00.000Z";"2025-01-18T23:59:59.999Z";"2025-01-18T00:19:00.000Z";"2025-01-18T08:11:00.000Z";"2781";1.1351087056;1.1436113997;1.052632021;1.1020721841;1614350854.23;38752733264.25;"2025-01-18T23:59:59.999Z"
"2025-01-17T00:00:00.000Z";"2025-01-17T23:59:59.999Z";"2025-01-17T21:13:00.000Z";"2025-01-17T00:28:00.000Z";"2781";1.0900934209;1.1636751423;1.0882203302;1.1351215239;1819221213.42;39915287513.88;"2025-01-17T23:59:59.999Z"
"2025-01-16T00:00:00.000Z";"2025-01-16T23:59:59.999Z";"2025-01-16T16:32:00.000Z";"2025-01-16T09:09:00.000Z";"2781";1.079093717;1.1396062905;1.0301803797;1.0900993348;2245926186.77;38332357155.88;"2025-01-16T23:59:59.999Z"
"2025-01-15T00:00:00.000Z";"2025-01-15T23:59:59.999Z";"2025-01-15T23:51:00.000Z";"2025-01-15T01:23:00.000Z";"2781";0.9949107667;1.0837650825;0.9909841828;1.0791544205;2210962209.6;37945560420.16;"2025-01-15T23:59:59.999Z"
"2025-01-14T00:00:00.000Z";"2025-01-14T23:59:59.999Z";"2025-01-14T18:42:00.000Z";"2025-01-14T00:19:00.000Z";"2781";0.9447360901;1.006901022;0.9401240936;0.9949093802;1119015700.82;34985327051.53;"2025-01-14T23:59:59.999Z"
"2025-01-13T00:00:00.000Z";"2025-01-13T23:59:59.999Z";"2025-01-13T00:43:00.000Z";"2025-01-13T14:37:00.000Z";"2781";0.9685336848;0.9910534039;0.8893385042;0.9447415981;1532120554.96;33215231295.42;"2025-01-13T23:59:59.999Z"
"2025-01-12T00:00:00.000Z";"2025-01-12T23:59:59.999Z";"2025-01-12T02:01:00.000Z";"2025-01-12T23:20:00.000Z";"2781";0.9944870437;1.0345655234;0.9636729611;0.968555094;1120377628.15;34051912162.7;"2025-01-12T23:59:59.999Z"
